id,duplicate_of_id,parent_event_id,relevance,updated,title,labels,category,description,start,end,predicted_end,timezone,duration,country,lat,lon,geo,placekey,impact_patterns,venue_id,venue_name,venue_formatted_address,scope,rank,local_rank,aviation_rank,phq_attendance,state,cancelled,postponed,deleted_reason,first_seen,place_hierarchies,private,brand_safe
4hdduwaFtFhvuskkjx,,,,2022-10-31T02:36:22Z,Lewis Holiday Bazaar,"craft,festival",festivals,,2022-12-03T08:00:00Z,2022-12-04T07:59:59Z,,America/Los_Angeles,86399,US,45.474027,-122.617841,"{""geometry"": {""coordinates"": [-122.617841, 45.474027], ""type"": ""Point""}}",227-222@5xc-kcz-h3q,,,,,locality,44,65,0,500,active,,,,2021-12-06T04:05:50Z,"6295630>6255149>6252001>5744337>5742126>5725009,6295630>6255149>6252001>5744337>5742126>5746545",False,True
9MxxcSLfZy4JEUuhYZ,,,,2022-10-25T18:27:08Z,"Igorrr, VOWWS, and Melt-Banana","concert,music",concerts,,2023-02-14T16:00:00Z,2023-02-14T16:00:00Z,,America/Los_Angeles,0,US,45.5227415,-122.6580938,"{""geometry"": {""coordinates"": [-122.6580938, 45.5227415], ""type"": ""Point""}}",226-223@5xc-jv7-jd9,,3tV84zRhzx3uh9Jm8Yx4XB,The Bossanova Ballroom,"722 East Burnside Street
Portland, OR 97214
United States of America",locality,43,61,0,460,active,,,,2021-12-17T22:28:07Z,"6295630>6255149>6252001>5744337>5742126>5724937,6295630>6255149>6252001>5744337>5742126>5746545",False,True
DSJLi3zhx9TycNvpPV,,,,2022-10-25T18:27:27Z,Igorrr,"concert,music",concerts,,2023-02-15T04:00:00Z,2023-02-15T04:00:00Z,,America/Los_Angeles,0,US,45.5227415,-122.6580938,"{""geometry"": {""coordinates"": [-122.6580938, 45.5227415], ""type"": ""Point""}}",226-223@5xc-jv7-jd9,,3tV84zRhzx3uh9Jm8Yx4XB,The Bossanova Ballroom,"722 East Burnside Street
Portland, OR 97214
United States of America",locality,41,58,0,352,active,,,,2022-02-04T12:46:20Z,"6295630>6255149>6252001>5744337>5742126>5724937,6295630>6255149>6252001>5744337>5742126>5746545",False,True
DH5PhvXXmxNctdrbzL,,,,2022-10-25T18:26:20Z,Adore Delano,"concert,music",concerts,,2023-02-04T04:00:00Z,2023-02-04T04:00:00Z,,America/Los_Angeles,0,US,45.5227415,-122.6580938,"{""geometry"": {""coordinates"": [-122.6580938, 45.5227415], ""type"": ""Point""}}",226-223@5xc-jv7-jd9,,3tV84zRhzx3uh9Jm8Yx4XB,The Bossanova Ballroom,"722 East Burnside Street
Portland, OR 97214
United States of America",locality,43,61,0,465,active,,,,2022-03-02T18:59:24Z,"6295630>6255149>6252001>5744337>5742126>5724937,6295630>6255149>6252001>5744337>5742126>5746545",False,True
GKDRHDmgnM3SFzna9H,,,,2022-10-25T04:27:52Z,Valentino Khan,"concert,music",concerts,,2022-12-23T18:00:00Z,2022-12-23T18:00:00Z,,America/Los_Angeles,0,US,45.5205209,-122.663075,"{""geometry"": {""coordinates"": [-122.663075, 45.5205209], ""type"": ""Point""}}",227-222@5xc-jv7-gx5,,Tq6AbwbkgrPShyDmBTBd4k,45 East,"315 Southeast 3rd Avenue
Portland, OR 97214
United States of America",locality,35,52,,183,active,,,,2022-03-24T22:42:13Z,"6295630>6255149>6252001>5744337>5742126>5724937,6295630>6255149>6252001>5744337>5742126>5746545",False,True
Bmqhjj97UAhmddnxmE,,,,2022-10-20T12:19:19Z,The Sheepdogs,"concert,music",concerts,,2022-12-05T05:00:00Z,2022-12-05T05:00:00Z,,America/Los_Angeles,0,US,45.5226309,-122.6569033,"{""geometry"": {""coordinates"": [-122.6569033, 45.5226309], ""type"": ""Point""}}",228-223@5xc-jv7-hbk,,SKPCufCKqzGVsQTV6kYgwV,Doug Fir Lounge,"830 East Burnside Street
Portland, OR 97214
United States of America",locality,36,53,0,195,active,,,,2022-03-28T22:45:13Z,"6295630>6255149>6252001>5744337>5742126>5724937,6295630>6255149>6252001>5744337>5742126>5746545",False,True
S8afrfeHm7xY5wzUxt,,,,2022-10-20T18:26:03Z,Andrew Bayer and Ghastly,"concert,music",concerts,,2023-02-25T18:00:00Z,2023-02-25T18:00:00Z,,America/Los_Angeles,0,US,45.5205209,-122.663075,"{""geometry"": {""coordinates"": [-122.663075, 45.5205209], ""type"": ""Point""}}",227-222@5xc-jv7-gx5,,Tq6AbwbkgrPShyDmBTBd4k,45 East,"315 Southeast 3rd Avenue
Portland, OR 97214
United States of America",locality,38,55,,259,active,,,,2022-06-02T22:40:24Z,"6295630>6255149>6252001>5744337>5742126>5724937,6295630>6255149>6252001>5744337>5742126>5746545",False,True
7oQ5mjTx9Yattrg4am,,,,2022-11-22T12:07:03Z,Avi Kaplan,"concert,music",concerts,,2022-12-03T04:00:00Z,2022-12-03T04:00:00Z,,America/Los_Angeles,0,US,45.518988,-122.6520524,"{""geometry"": {""coordinates"": [-122.6520524, 45.518988], ""type"": ""Point""}}",@5xc-jxm-hkf,,336daHL9aTzJADYiimww2zB,Revolution Hall,"110 1300 Southeast Stark Street
Portland, OR 97214
United States of America",locality,43,61,0,434,active,,,,2022-06-03T22:34:48Z,"6295630>6255149>6252001>5744337>5742126>5724937,6295630>6255149>6252001>5744337>5742126>5746545",False,True
FLoftz4CLM6QJX7yJs,,,,2022-11-10T03:23:50Z,Courtney Marie Andrews,"concert,music",concerts,,2022-12-11T05:00:00Z,2022-12-11T05:00:00Z,,America/Los_Angeles,0,US,45.5226309,-122.6569033,"{""geometry"": {""coordinates"": [-122.6569033, 45.5226309], ""type"": ""Point""}}",228-223@5xc-jv7-hbk,,SKPCufCKqzGVsQTV6kYgwV,Doug Fir Lounge,"830 East Burnside Street
Portland, OR 97214
United States of America",locality,38,56,0,265,active,,,,2022-06-09T22:37:27Z,"6295630>6255149>6252001>5744337>5742126>5724937,6295630>6255149>6252001>5744337>5742126>5746545",False,True
D9cS6R9SfQNg2SYrCt,,,,2022-11-12T00:28:29Z,Bartees Strange,"concert,music",concerts,,2022-12-12T03:30:00Z,2022-12-12T03:30:00Z,,America/Los_Angeles,0,US,45.5226309,-122.6569033,"{""geometry"": {""coordinates"": [-122.6569033, 45.5226309], ""type"": ""Point""}}",228-223@5xc-jv7-hbk,,SKPCufCKqzGVsQTV6kYgwV,Doug Fir Lounge,"830 East Burnside Street
Portland, OR 97214
United States of America",locality,37,54,0,212,active,,,,2022-06-21T22:33:51Z,"6295630>6255149>6252001>5744337>5742126>5724937,6295630>6255149>6252001>5744337>5742126>5746545",False,True
